"Date","bookings","pred","res"
2013-01-28,0.810750812675433,1.30802680086344,0.497275988188012
2013-01-29,0.79252156982934,1.30099695920944,0.508475389380102
2013-01-30,0.816799773764595,1.30491079483181,0.488111021067217
2013-01-31,0.816799773764595,1.23543128557503,0.418631511810437
2013-02-01,0.816799773764595,1.22597252670676,0.40917275294216
2013-02-02,0.883441389091253,1.21765693929046,0.334215550199211
2013-02-03,0.910307647447717,1.22401210200042,0.313704454552698
2013-02-04,0.891165730896361,1.25214998889714,0.360984258000784
2013-02-05,0.909736215513987,1.18962506670505,0.279888851191061
2013-02-06,0.891293892003002,1.20876718126237,0.317473289259372
2013-02-07,0.891293892003002,1.21663505863398,0.325341166630981
2013-02-08,0.891293892003002,1.19614970777184,0.304855815768836
2013-02-09,0.884138565650995,1.1730188941583,0.288880328507309
2013-02-10,0.894383217993641,1.16697451099753,0.272591293003893
2013-02-11,0.833311461793003,1.19860704895109,0.365295587158086
2013-02-12,0.844634414287348,1.19732231926173,0.352687904974382
2013-02-13,0.914105845623556,1.16530980076641,0.251203955142853
2013-02-14,0.914105845623556,1.18446953594685,0.27036369032329
2013-02-15,0.914105845623556,1.15957128442824,0.245465438804683
2013-02-16,0.867000632170222,1.13227094616741,0.265270313997187
2013-02-17,0.85846611588006,1.08751081395894,0.229044698078883
2013-02-18,0.845932971737574,1.01767687965184,0.17174390791427
2013-02-19,0.887667051035534,0.976940987631679,0.0892739365961449
2013-02-20,0.88467893226607,0.922581011429429,0.0379020791633593
2013-02-21,0.88467893226607,0.921818040311337,0.0371391080452668
2013-02-22,0.88467893226607,0.880073266103864,-0.00460566616220603
2013-02-23,0.858071211521006,0.840166366659105,-0.0179048448619016
2013-02-24,0.85735730867356,0.79724392015487,-0.0601133885186901
2013-02-25,0.876337246603865,0.800301411189139,-0.0760358354147264
2013-02-26,0.834606893953953,0.717318730428815,-0.117288163525138
2013-02-27,0.850306103161324,0.750624622218311,-0.0996814809430129
2013-02-28,0.850306103161324,0.747257738374174,-0.10304836478715
2013-03-01,0.850306103161324,0.768083863891661,-0.0822222392696625
2013-03-02,0.853302522017885,0.789998109452426,-0.0633044125654583
2013-03-03,0.854544786404892,0.841100785881281,-0.0134440005236109
2013-03-04,0.880643862200425,0.843079539015889,-0.037564323184536
2013-03-05,0.85897574284056,0.850768619216979,-0.00820712362358167
2013-03-06,0.811996189093864,0.84517558850348,0.033179399409616
2013-03-07,0.811996189093864,0.868246755562723,0.0562505664688587
2013-03-08,0.811996189093864,0.895996008999646,0.0839998199057818
2013-03-09,0.801254573387646,0.923088109120727,0.12183353573308
2013-03-10,0.819889434931642,0.979614219628274,0.159724784696633
2013-03-11,0.801468352829276,0.985026673413813,0.183558320584537
2013-03-12,0.801509809210885,1.07713562902063,0.275625819809746
2013-03-13,0.804086804776978,1.06649390049279,0.262407095715809
2013-03-14,0.804086804776978,1.0782245695591,0.274137764782119
2013-03-15,0.804086804776978,1.09634867496789,0.292261870190907
2013-03-16,0.767898984605382,1.11179390363395,0.34389491902857
2013-03-17,0.804489692841908,1.18251352477819,0.37802383193628
2013-03-18,0.765223995516561,1.21734102722257,0.452117031706013
2013-03-19,1.18882154703454,1.25381962582469,0.0649980787901465
2013-03-20,1.22204846055307,1.28323970455676,0.0611912440036941
2013-03-21,1.22204846055307,1.26795798260719,0.0459095220541168
2013-03-22,1.22204846055307,1.27287192549556,0.0508234649424959
2013-03-23,1.21752285763169,1.27819164004177,0.0606687824100833
2013-03-24,1.18648799485241,1.26408024504781,0.0775922501953974
2013-03-25,1.14948476943718,1.25392337143421,0.104438601997031
2013-03-26,1.16561149348418,1.31371775828302,0.148106264798834
2013-03-27,1.16556336137085,1.33089738152921,0.165334020158359
2013-03-28,1.16556336137085,1.29097950737923,0.125416146008381
2013-03-29,1.16556336137085,1.30696150287986,0.141398141509005
2013-03-30,1.18122277031942,1.32589999865741,0.144677228337988
2013-03-31,1.15737819081966,1.3361741034314,0.17879591261174
2013-04-01,1.16728810593733,1.37330027669668,0.206012170759357
2013-04-02,1.16468242398325,1.37823468632996,0.213552262346711
2013-04-03,1.23200435504382,1.44283103663474,0.210826681590923
2013-04-04,1.23200435504382,1.46945405565202,0.237449700608202
2013-04-05,1.23200435504382,1.49422772042453,0.262223365380712
2013-04-06,1.33950808669411,1.51917834300548,0.179670256311366
2013-04-07,1.28737227348238,1.51210785470903,0.224735581226647
2013-04-08,1.30289595705905,1.45035428088158,0.147458323822537
2013-04-09,0.880194826474771,1.4664346082136,0.586239781738833
2013-04-10,0.833295370150257,1.45529277157038,0.621997401420128
2013-04-11,0.833295370150257,1.44760572444648,0.614310354296219
2013-04-12,0.833295370150257,1.46435146778822,0.631056097637963
2013-04-13,0.885380794134379,1.47769048530608,0.592309691171706
2013-04-14,1.09861960698609,1.49082071054727,0.392201103561183
2013-04-15,1.13537249273264,1.48365256469697,0.34828007196433
2013-04-16,1.32397811161524,1.48168579861522,0.157707686999978
2013-04-17,1.36922742320817,1.48675263673067,0.117525213522499
2013-04-18,1.36922742320817,1.51770073268563,0.148473309477454
2013-04-19,1.36922742320817,1.51051664259285,0.141289219384676
2013-04-20,1.37184121902345,1.50155609007925,0.129714871055795
2013-04-21,1.39950431615449,1.48999141715467,0.0904871010001749
2013-04-22,1.3889364214303,1.49079003464431,0.101853613214006
2013-04-23,1.34161674356002,1.47136249486357,0.129745751303554
2013-04-24,1.40372204105205,1.45744713488966,0.0537250938376155
2013-04-25,1.40372204105205,1.43777372129261,0.0340516802405681
