"Date","pred","bookings","res"
2013-01-28,1.06649773055688,0.810750812675433,0.255746917881442
2013-01-29,1.06986485887319,0.79252156982934,0.277343289043848
2013-01-30,1.0774233485572,0.816799773764595,0.260623574792609
2013-01-31,1.13350669690408,0.816799773764595,0.316706923139483
2013-02-01,1.1275421641767,0.816799773764595,0.310742390412108
2013-02-02,1.1231222092174,0.883441389091253,0.239680820126146
2013-02-03,1.13422425882891,0.910307647447717,0.223916611381191
2013-02-04,1.16877369582653,0.891165730896361,0.27760796493017
2013-02-05,1.12755785137415,0.909736215513987,0.217821635860163
2013-02-06,1.16323913587257,0.891293892003002,0.271945243869571
2013-02-07,1.17413912643678,0.891293892003002,0.282845234433783
2013-02-08,1.1676961616613,0.891293892003002,0.276402269658295
2013-02-09,1.16068615671247,0.884138565650995,0.276547591061478
2013-02-10,1.16701367404312,0.894383217993641,0.272630456049478
2013-02-11,1.19416605401784,0.833311461793003,0.360854592224839
2013-02-12,1.22073147632182,0.844634414287348,0.376097062034468
2013-02-13,1.20427779108286,0.914105845623556,0.290171945459303
2013-02-14,1.23616550071165,0.914105845623556,0.322059655088094
2013-02-15,1.23344317218289,0.914105845623556,0.319337326559332
2013-02-16,1.22819933108985,0.867000632170222,0.361198698919632
2013-02-17,1.19829232385382,0.85846611588006,0.339826207973761
2013-02-18,1.15361674595624,0.845932971737574,0.307683774218668
2013-02-19,1.12944250367582,0.887667051035534,0.241775452640285
2013-02-20,1.08831454114988,0.88467893226607,0.203635608883815
2013-02-21,1.09744641697034,0.88467893226607,0.212767484704273
2013-02-22,1.06976611772552,0.88467893226607,0.185087185459452
2013-02-23,1.04155621211976,0.858071211521006,0.183485000598752
2013-02-24,1.01234982325695,0.85735730867356,0.154992514583395
2013-02-25,1.01588437752798,0.876337246603865,0.139547130924117
2013-02-26,0.961029666243121,0.834606893953953,0.126422772289168
2013-02-27,1.00587410922162,0.850306103161324,0.155568006060299
2013-02-28,0.997426069807261,0.850306103161324,0.147119966645938
2013-03-01,1.10651489673182,0.850306103161324,0.2562087935705
2013-03-02,1.10569919319823,0.853302522017885,0.252396671180349
2013-03-03,1.12207912141457,0.854544786404892,0.26753433500968
2013-03-04,1.08048520796001,0.880643862200425,0.199841345759584
2013-03-05,1.06241713045165,0.85897574284056,0.203441387611089
2013-03-06,1.04913554666564,0.811996189093864,0.237139357571775
2013-03-07,1.06035284046084,0.811996189093864,0.248356651366973
2013-03-08,1.07134498655796,0.811996189093864,0.259348797464097
2013-03-09,1.08386149024591,0.801254573387646,0.282606916858262
2013-03-10,1.11133395461366,0.819889434931642,0.291444519682014
2013-03-11,1.10387974441983,0.801468352829276,0.302411391590552
2013-03-12,1.16709494194947,0.801509809210885,0.365585132738587
2013-03-13,1.15375277446583,0.804086804776978,0.349665969688851
2013-03-14,1.15554838581011,0.804086804776978,0.351461581033129
2013-03-15,1.17181546147913,0.804086804776978,0.367728656702149
2013-03-16,1.18676093639806,0.767898984605382,0.418861951792677
2013-03-17,1.24035401293077,0.804489692841908,0.435864320088858
2013-03-18,1.24815038428642,0.765223995516561,0.482926388769858
2013-03-19,1.28421047702432,1.18882154703454,0.0953889299897734
2013-03-20,1.28500711871311,1.22204846055307,0.0629586581600416
2013-03-21,1.27012010617182,1.22204846055307,0.0480716456187475
2013-03-22,1.27369215339422,1.22204846055307,0.0516436928411532
2013-03-23,1.27613667957485,1.21752285763169,0.058613821943162
2013-03-24,1.27415152499452,1.18648799485241,0.087663530142112
2013-03-25,1.28632936347276,1.14948476943718,0.136844594035579
2013-03-26,1.32136960048229,1.16561149348418,0.1557581069981
2013-03-27,1.30678389873356,1.16556336137085,0.141220537362703
2013-03-28,1.27711293892935,1.16556336137085,0.111549577558496
2013-03-29,1.276215324644,1.16556336137085,0.110651963273146
2013-03-30,1.27694899681956,1.18122277031942,0.0957262265001382
2013-03-31,1.27838625735603,1.15737819081966,0.121008066536369
2013-04-01,1.4177506736014,1.16728810593733,0.250462567664078
2013-04-02,1.39675083570182,1.16468242398325,0.232068411718574
2013-04-03,1.42979823425412,1.23200435504382,0.197793879210301
2013-04-04,1.43843421339989,1.23200435504382,0.206429858356067
2013-04-05,1.44626021524891,1.23200435504382,0.214255860205092
2013-04-06,1.45589102245867,1.33950808669411,0.11638293576456
2013-04-07,1.45703120250255,1.28737227348238,0.169658929020167
2013-04-08,1.42697387328371,1.30289595705905,0.124077916224667
2013-04-09,1.43484398862347,0.880194826474771,0.5546491621487
2013-04-10,1.43060743203387,0.833295370150257,0.59731206188361
2013-04-11,1.42776919575408,0.833295370150257,0.594473825603824
2013-04-12,1.44265304738656,0.833295370150257,0.6093576772363
2013-04-13,1.45620736479759,0.885380794134379,0.570826570663214
2013-04-14,1.46384280268103,1.09861960698609,0.365223195694943
2013-04-15,1.45577635802329,1.13537249273264,0.320403865290648
2013-04-16,1.46322552068159,1.32397811161524,0.139247409066351
2013-04-17,1.47401286382228,1.36922742320817,0.10478544061411
2013-04-18,1.51882332470268,1.36922742320817,0.149595901494508
2013-04-19,1.51622421015054,1.36922742320817,0.146996786942368
2013-04-20,1.51089937565848,1.37184121902345,0.139058156635029
2013-04-21,1.49934908607975,1.39950431615449,0.0998447699252516
2013-04-22,1.49296965403482,1.3889364214303,0.104033232604523
2013-04-23,1.47708059870638,1.34161674356002,0.135463855146364
2013-04-24,1.4550570610445,1.40372204105205,0.0513350199924525
2013-04-25,1.42992436583154,1.40372204105205,0.0262023247794922
2013-04-26,1.41661386936903,1.40372204105205,0.0128918283169832
