date,index
8/4/2011,0.586366097
8/5/2011,0.574110055
8/6/2011,0.561854014
8/7/2011,0.549597972
8/8/2011,0.53734193
8/9/2011,0.525085888
8/10/2011,0.512829846
8/11/2011,0.500573805
8/12/2011,0.488317763
8/13/2011,0.476061721
8/14/2011,0.463805679
8/15/2011,0.451549637
8/16/2011,0.439293595
8/17/2011,0.427037554
8/18/2011,0.414781512
8/19/2011,0.40252547
8/20/2011,0.390269428
8/21/2011,0.378013386
8/22/2011,0.365757344
8/23/2011,0.353501303
8/24/2011,0.341245261
8/25/2011,0.328989219
8/26/2011,0.316733177
8/27/2011,0.304477135
8/28/2011,0.292221093
8/29/2011,0.279965052
8/30/2011,0.26770901
8/31/2011,0.255452968
9/1/2011,0.243196926
9/2/2011,0.250291594
9/3/2011,0.257386262
9/4/2011,0.26448093
9/5/2011,0.271575598
9/6/2011,0.278670265
9/7/2011,0.285764933
9/8/2011,0.292859601
9/9/2011,0.299954269
9/10/2011,0.307048937
9/11/2011,0.314143605
9/12/2011,0.321238273
9/13/2011,0.32833294
9/14/2011,0.335427608
9/15/2011,0.342522276
9/16/2011,0.349616944
9/17/2011,0.356711612
9/18/2011,0.36380628
9/19/2011,0.370900948
9/20/2011,0.377995615
9/21/2011,0.385090283
9/22/2011,0.392184951
9/23/2011,0.399279619
9/24/2011,0.406374287
9/25/2011,0.413468955
9/26/2011,0.420563623
9/27/2011,0.427658291
9/28/2011,0.434752958
9/29/2011,0.441847626
9/30/2011,0.448942294
10/1/2011,0.456036962
10/2/2011,0.457824987
10/3/2011,0.459613013
10/4/2011,0.461401038
10/5/2011,0.463189063
10/6/2011,0.464977089
10/7/2011,0.466765114
10/8/2011,0.46855314
10/9/2011,0.470341165
10/10/2011,0.47212919
10/11/2011,0.473917216
10/12/2011,0.475705241
10/13/2011,0.477493267
10/14/2011,0.479281292
10/15/2011,0.481069317
10/16/2011,0.482857343
10/17/2011,0.484645368
10/18/2011,0.486433394
10/19/2011,0.488221419
10/20/2011,0.490009444
10/21/2011,0.49179747
10/22/2011,0.493585495
10/23/2011,0.49537352
10/24/2011,0.497161546
10/25/2011,0.498949571
10/26/2011,0.500737597
10/27/2011,0.502525622
10/28/2011,0.504313647
10/29/2011,0.506101673
10/30/2011,0.507889698
10/31/2011,0.509677724
11/1/2011,0.511465749
11/2/2011,0.510712366
11/3/2011,0.509958984
11/4/2011,0.509205601
11/5/2011,0.508452218
11/6/2011,0.507698836
11/7/2011,0.506945453
11/8/2011,0.50619207
11/9/2011,0.505438687
11/10/2011,0.504685305
11/11/2011,0.503931922
11/12/2011,0.503178539
11/13/2011,0.502425157
11/14/2011,0.501671774
11/15/2011,0.500918391
11/16/2011,0.500165009
11/17/2011,0.499411626
11/18/2011,0.498658243
11/19/2011,0.497904861
11/20/2011,0.497151478
11/21/2011,0.496398095
11/22/2011,0.495644713
11/23/2011,0.49489133
11/24/2011,0.494137947
11/25/2011,0.493384565
11/26/2011,0.492631182
11/27/2011,0.491877799
11/28/2011,0.491124417
11/29/2011,0.490371034
11/30/2011,0.489617651
12/1/2011,0.488864269
12/2/2011,0.493562683
12/3/2011,0.498261097
12/4/2011,0.502959511
12/5/2011,0.507657926
12/6/2011,0.51235634
12/7/2011,0.517054754
12/8/2011,0.521753168
12/9/2011,0.526451582
12/10/2011,0.531149997
12/11/2011,0.535848411
12/12/2011,0.540546825
12/13/2011,0.545245239
12/14/2011,0.549943654
12/15/2011,0.554642068
12/16/2011,0.559340482
12/17/2011,0.564038896
12/18/2011,0.568737311
12/19/2011,0.573435725
12/20/2011,0.578134139
12/21/2011,0.582832553
12/22/2011,0.587530968
12/23/2011,0.592229382
12/24/2011,0.596927796
12/25/2011,0.60162621
12/26/2011,0.606324625
12/27/2011,0.611023039
12/28/2011,0.615721453
12/29/2011,0.620419867
12/30/2011,0.625118282
12/31/2011,0.629816696
1/1/2012,0.63451511
1/2/2012,0.623861934
1/3/2012,0.613208758
1/4/2012,0.602555582
1/5/2012,0.591902406
1/6/2012,0.58124923
1/7/2012,0.570596054
1/8/2012,0.559942878
1/9/2012,0.549289702
1/10/2012,0.538636526
1/11/2012,0.52798335
1/12/2012,0.517330174
1/13/2012,0.506676998
1/14/2012,0.496023822
1/15/2012,0.485370646
1/16/2012,0.47471747
1/17/2012,0.464064294
1/18/2012,0.453411118
1/19/2012,0.442757942
1/20/2012,0.432104766
1/21/2012,0.42145159
1/22/2012,0.410798414
1/23/2012,0.400145238
1/24/2012,0.389492062
1/25/2012,0.378838886
1/26/2012,0.36818571
1/27/2012,0.357532534
1/28/2012,0.346879358
1/29/2012,0.336226182
1/30/2012,0.325573006
1/31/2012,0.31491983
2/1/2012,0.304266654
2/2/2012,0.306620914
2/3/2012,0.308975174
2/4/2012,0.311329434
2/5/2012,0.313683694
2/6/2012,0.316037954
2/7/2012,0.318392214
2/8/2012,0.320746473
2/9/2012,0.323100733
2/10/2012,0.325454993
2/11/2012,0.327809253
2/12/2012,0.330163513
2/13/2012,0.332517773
2/14/2012,0.334872033
2/15/2012,0.337226293
2/16/2012,0.339580553
2/17/2012,0.341934813
2/18/2012,0.344289073
2/19/2012,0.346643332
2/20/2012,0.348997592
2/21/2012,0.351351852
2/22/2012,0.353706112
2/23/2012,0.356060372
2/24/2012,0.358414632
2/25/2012,0.360768892
2/26/2012,0.363123152
2/27/2012,0.365477412
2/28/2012,0.367831672
2/29/2012,0.370185932
3/1/2012,0.372540191
3/2/2012,0.366113748
3/3/2012,0.359687305
3/4/2012,0.353260861
3/5/2012,0.346834418
3/6/2012,0.340407975
3/7/2012,0.333981531
3/8/2012,0.327555088
3/9/2012,0.321128644
3/10/2012,0.314702201
3/11/2012,0.308275758
3/12/2012,0.301849314
3/13/2012,0.295422871
3/14/2012,0.288996428
3/15/2012,0.282569984
3/16/2012,0.276143541
3/17/2012,0.269717097
3/18/2012,0.263290654
3/19/2012,0.256864211
3/20/2012,0.250437767
3/21/2012,0.244011324
