uniform_date,21_d_MA,raw_sales
6/5/2012,24660.36921,10932.82015
6/6/2012,24660.36921,114176.1683
6/7/2012,24660.36921,21000.93046
6/8/2012,25245.36225,34732.10838
6/9/2012,26690.82029,0
6/10/2012,25736.50255,0
6/11/2012,25769.46346,19873.19123
6/12/2012,25876.45972,5960.516846
6/13/2012,25876.45972,31061.05138
6/14/2012,25876.45972,24497.06615
6/15/2012,22120.21976,17206.10954
6/16/2012,23251.11295,0
6/17/2012,20415.26943,0
6/18/2012,20730.34382,10394.87631
6/19/2012,21529.39582,29846.62508
6/20/2012,21529.39582,15813.78092
6/21/2012,21529.39582,29733.25985
6/22/2012,21219.82328,12796.42723
6/23/2012,21189.71573,0
6/24/2012,19453.6669,0
6/25/2012,18710.59722,15034.35785
6/26/2012,18457.55494,31027.92208
6/27/2012,18457.55494,63785.41031
6/28/2012,18457.55494,26599.56
6/29/2012,18500.87033,48930.64792
6/30/2012,17319.24476,0
7/1/2012,17111.88971,0
7/2/2012,16025.15498,14372.32538
7/3/2012,15775.89378,5425.528615
7/4/2012,15775.89378,212.7992308
7/5/2012,15775.89378,11293.28946
7/6/2012,15669.85466,12709.74285
7/7/2012,14468.65642,0
7/8/2012,11542.31287,0
7/9/2012,11327.16081,11164.55754
7/10/2012,10691.44103,8850.047769
7/11/2012,10691.44103,12129.241
7/12/2012,10691.44103,10422.81969
7/13/2012,10410.81995,8367.247538
7/14/2012,11125.60196,0
7/15/2012,14588.29417,0
7/16/2012,15420.74727,13150.12423
7/17/2012,17564.8992,9683.553231
7/18/2012,17564.8992,11786.53662
7/19/2012,17564.8992,22776.47323
7/20/2012,18295.65687,37634.39646
7/21/2012,18415.69973,0
7/22/2012,18632.20003,0
7/23/2012,19098.91337,9385.904769
7/24/2012,20056.81229,18126.65515
7/25/2012,20056.81229,61742.17608
7/26/2012,20056.81229,26085.34085
7/27/2012,20298.21865,50809.67323
7/28/2012,20360.98575,0
7/29/2012,20421.05946,0
7/30/2012,20562.87426,24149.55915
7/31/2012,19342.97665,10983.117
8/1/2012,19342.97665,15976.28485
8/2/2012,19342.97665,18715.95677
8/3/2012,20207.47781,25388.37454
8/4/2012,20095.01493,0
8/5/2012,18581.20909,0
8/6/2012,17916.21868,17439.72946
8/7/2012,17602.59652,10798.87638
8/8/2012,17602.59652,12854.00031
8/9/2012,17602.59652,25296.41308
8/10/2012,16792.61663,15957.75431
8/11/2012,17130.34121,0
8/12/2012,24610.4824,0
8/13/2012,24825.8446,24747.42523
8/14/2012,25483.3628,16128.27631
8/15/2012,25483.3628,34843.01085
8/16/2012,25483.3628,14268.97277
8/17/2012,25117.3828,45236.84869
8/18/2012,25113.11041,0
8/19/2012,25576.0277,0
8/20/2012,24811.68179,9756.839462
8/21/2012,24983.95305,16984.22315
8/22/2012,24983.95305,148892.6398
8/23/2012,24983.95305,22542.77738
8/24/2012,23591.24082,37071.96715
8/25/2012,23357.3277,0
8/26/2012,21965.19623,0
8/27/2012,22311.86187,10936.54638
8/28/2012,21522.82916,10722.95923
8/29/2012,21522.82916,21079.68446
8/30/2012,21522.82916,11714.57423
8/31/2012,21713.12103,19018.88223
9/1/2012,22064.99206,0
9/2/2012,15674.76055,0
9/3/2012,15938.49082,0
9/4/2012,18230.62417,11971.82023
9/5/2012,18230.62417,10105.90538
9/6/2012,18230.62417,20428.95469
9/7/2012,18522.86145,31216.34431
9/8/2012,23059.02837,0
9/9/2012,23424.62465,0
9/10/2012,25180.52946,13138.17954
9/11/2012,25770.73544,23236.70077
9/12/2012,25770.73544,35343.14138
9/13/2012,25770.73544,27229.06154
9/14/2012,27044.33499,77801.41354
9/15/2012,27914.52779,0
9/16/2012,28646.91026,0
9/17/2012,32411.3108,16129.37823
9/18/2012,33122.09682,91327.156
9/19/2012,33122.09682,27576.04915
9/20/2012,33122.09682,42915.65192
9/21/2012,33333.39576,29506.38831
9/22/2012,32835.37066,0
9/23/2012,31594.13063,0
9/24/2012,30807.43461,22630.88438
9/25/2012,27607.67321,27434.47692
9/26/2012,27607.67321,23119.77854
9/27/2012,27607.67321,87319.45662
9/28/2012,28973.87175,43846.46508
9/29/2012,25923.46325,0
9/30/2012,25451.46943,0
10/1/2012,23894.00039,16892.79931
10/2/2012,23311.43507,14387.17785
10/3/2012,23311.43507,13287.26062
